 yes             code            v(sb0)          v(sb1)          v(sb2)          v(sb3)          v(sb4)          v(sb5)          v(sb6)          v(sb7)          i(vib)          i(visense)      i(vidump)       v(q)            v(qbar)        
 1.00000000e+00  7.00000000e+01  0.00000000e+00  1.30000000e+00  1.30000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.30000000e+00  0.00000000e+00  5.45643921e-06  1.59802170e-06  3.85840942e-06  2.00795870e-09  2.00795870e-09 
 1.00000000e+00  7.10000000e+01  1.30000000e+00  1.30000000e+00  1.30000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.30000000e+00  0.00000000e+00  5.45643977e-06  1.62744191e-06  3.82898976e-06  2.00795881e-09  2.00795881e-09 
 1.00000000e+00  7.20000000e+01  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.30000000e+00  0.00000000e+00  0.00000000e+00  1.30000000e+00  0.00000000e+00  5.45643990e-06  1.61529740e-06  3.84113440e-06  2.00795881e-09  2.00795881e-09 
 1.00000000e+00  7.30000000e+01  1.30000000e+00  0.00000000e+00  0.00000000e+00  1.30000000e+00  0.00000000e+00  0.00000000e+00  1.30000000e+00  0.00000000e+00  5.45644069e-06  1.67034483e-06  3.78608777e-06  2.00795870e-09  2.00795870e-09 
 1.00000000e+00  7.40000000e+01  0.00000000e+00  1.30000000e+00  0.00000000e+00  1.30000000e+00  0.00000000e+00  0.00000000e+00  1.30000000e+00  0.00000000e+00  5.45644107e-06  1.68435666e-06  3.77207631e-06  2.00795881e-09  2.00795881e-09 
 1.00000000e+00  7.50000000e+01  1.30000000e+00  1.30000000e+00  0.00000000e+00  1.30000000e+00  0.00000000e+00  0.00000000e+00  1.30000000e+00  0.00000000e+00  5.45644162e-06  1.71777692e-06  3.73865661e-06  2.00795881e-09  2.00795881e-09 
 1.00000000e+00  7.60000000e+01  0.00000000e+00  0.00000000e+00  1.30000000e+00  1.30000000e+00  0.00000000e+00  0.00000000e+00  1.30000000e+00  0.00000000e+00  5.45644181e-06  1.71274023e-06  3.74369348e-06  2.00795881e-09  2.00795881e-09 
 1.00000000e+00  7.70000000e+01  1.30000000e+00  0.00000000e+00  1.30000000e+00  1.30000000e+00  0.00000000e+00  0.00000000e+00  1.30000000e+00  0.00000000e+00  5.45644242e-06  1.75543455e-06  3.70099978e-06  2.00795870e-09  2.00795870e-09 
 1.00000000e+00  7.80000000e+01  0.00000000e+00  1.30000000e+00  1.30000000e+00  1.30000000e+00  0.00000000e+00  0.00000000e+00  1.30000000e+00  0.00000000e+00  5.45644269e-06  1.76049887e-06  3.69593573e-06  2.00795870e-09  2.00795870e-09 
 1.00000000e+00  7.90000000e+01  1.30000000e+00  1.30000000e+00  1.30000000e+00  1.30000000e+00  0.00000000e+00  0.00000000e+00  1.30000000e+00  0.00000000e+00  5.45644312e-06  1.78414155e-06  3.67229347e-06  2.00795881e-09  2.00795881e-09 
 1.00000000e+00  8.00000000e+01  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.30000000e+00  0.00000000e+00  1.30000000e+00  0.00000000e+00  5.45644323e-06  1.77099026e-06  3.68544488e-06  2.00795870e-09  2.00795870e-09 
 1.00000000e+00  8.10000000e+01  1.30000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.30000000e+00  0.00000000e+00  1.30000000e+00  0.00000000e+00  5.45644388e-06  1.82441203e-06  3.63202376e-06  2.00795870e-09  2.00795870e-09 
 1.00000000e+00  8.20000000e+01  0.00000000e+00  1.30000000e+00  0.00000000e+00  0.00000000e+00  1.30000000e+00  0.00000000e+00  1.30000000e+00  0.00000000e+00  5.45644423e-06  1.84127917e-06  3.61515696e-06  2.00795870e-09  2.00795870e-09 
 1.00000000e+00  8.30000000e+01  1.30000000e+00  1.30000000e+00  0.00000000e+00  0.00000000e+00  1.30000000e+00  0.00000000e+00  1.30000000e+00  0.00000000e+00  5.45644470e-06  1.87508642e-06  3.58135018e-06  2.00795881e-09  2.00795881e-09 
 1.00000000e+00  8.40000000e+01  0.00000000e+00  0.00000000e+00  1.30000000e+00  0.00000000e+00  1.30000000e+00  0.00000000e+00  1.30000000e+00  0.00000000e+00  5.45644490e-06  1.87525471e-06  3.58118210e-06  2.00795881e-09  2.00795881e-09 
 1.00000000e+00  8.50000000e+01  1.30000000e+00  0.00000000e+00  1.30000000e+00  0.00000000e+00  1.30000000e+00  0.00000000e+00  1.30000000e+00  0.00000000e+00  5.45644540e-06  1.91681104e-06  3.53962626e-06  2.00795870e-09  2.00795870e-09 
 1.00000000e+00  8.60000000e+01  0.00000000e+00  1.30000000e+00  1.30000000e+00  0.00000000e+00  1.30000000e+00  0.00000000e+00  1.30000000e+00  0.00000000e+00  5.45644566e-06  1.92575511e-06  3.53068245e-06  2.00795870e-09  2.00795870e-09 
 1.00000000e+00  8.70000000e+01  1.30000000e+00  1.30000000e+00  1.30000000e+00  0.00000000e+00  1.30000000e+00  0.00000000e+00  1.30000000e+00  0.00000000e+00  5.45644602e-06  1.95060774e-06  3.50583018e-06  2.00795870e-09  2.00795870e-09 
 1.00000000e+00  8.80000000e+01  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.30000000e+00  1.30000000e+00  0.00000000e+00  1.30000000e+00  0.00000000e+00  5.45644617e-06  1.94418946e-06  3.51224861e-06  2.00795881e-09  2.00795881e-09 
