Instance,Terminal,Layer,X location,Y location,Voltage
TAP_TAPCELL_ROW_6_55,VGND,li1,18.6300,27.4910,0.000029
TAP_TAPCELL_ROW_5_54,VGND,li1,134.5500,26.9080,0.000184
TAP_TAPCELL_ROW_5_53,VGND,li1,108.7900,26.9080,0.000184
TAP_TAPCELL_ROW_5_52,VGND,li1,83.0300,26.9080,0.000170
TAP_TAPCELL_ROW_5_51,VGND,li1,57.2700,26.9080,0.000119
TAP_TAPCELL_ROW_5_50,VGND,li1,31.5100,26.9080,0.000051
TAP_TAPCELL_ROW_4_49,VGND,li1,121.6700,22.0510,0.000020
TAP_TAPCELL_ROW_4_48,VGND,li1,95.9100,22.0510,0.000018
TAP_TAPCELL_ROW_4_47,VGND,li1,70.1500,22.0510,0.000014
TAP_TAPCELL_ROW_4_46,VGND,li1,44.3900,22.0510,0.000008
TAP_TAPCELL_ROW_4_45,VGND,li1,18.6300,22.0510,0.000003
TAP_TAPCELL_ROW_3_44,VGND,li1,134.5500,21.4680,0.000020
TAP_TAPCELL_ROW_3_43,VGND,li1,108.7900,21.4680,0.000019
TAP_TAPCELL_ROW_3_42,VGND,li1,83.0300,21.4680,0.000016
TAP_TAPCELL_ROW_3_41,VGND,li1,57.2700,21.4680,0.000011
TAP_TAPCELL_ROW_3_40,VGND,li1,31.5100,21.4680,0.000004
TAP_TAPCELL_ROW_2_39,VGND,li1,121.6700,16.6110,0.000066
TAP_TAPCELL_ROW_2_38,VGND,li1,95.9100,16.6110,0.000062
TAP_TAPCELL_ROW_2_37,VGND,li1,70.1500,16.6110,0.000047
TAP_TAPCELL_ROW_2_36,VGND,li1,44.3900,16.6110,0.000028
TAP_TAPCELL_ROW_2_35,VGND,li1,18.6300,16.6110,0.000010
TAP_TAPCELL_ROW_1_34,VGND,li1,134.5500,16.0280,0.000066
TAP_TAPCELL_ROW_1_33,VGND,li1,108.7900,16.0280,0.000065
TAP_TAPCELL_ROW_1_32,VGND,li1,83.0300,16.0280,0.000055
TAP_TAPCELL_ROW_1_31,VGND,li1,57.2700,16.0280,0.000038
TAP_TAPCELL_ROW_1_30,VGND,li1,31.5100,16.0280,0.000015
TAP_TAPCELL_ROW_0_29,VGND,li1,134.5500,11.1710,0.000000
TAP_TAPCELL_ROW_0_28,VGND,li1,121.6700,11.1710,0.000000
TAP_TAPCELL_ROW_0_27,VGND,li1,108.7900,11.1710,0.000000
TAP_TAPCELL_ROW_0_26,VGND,li1,95.9100,11.1710,0.000000
TAP_TAPCELL_ROW_0_25,VGND,li1,83.0300,11.1710,0.000000
TAP_TAPCELL_ROW_0_24,VGND,li1,70.1500,11.1710,0.000000
TAP_TAPCELL_ROW_0_23,VGND,li1,57.2700,11.1710,0.000000
TAP_TAPCELL_ROW_0_22,VGND,li1,44.3900,11.1710,0.000000
TAP_TAPCELL_ROW_0_21,VGND,li1,31.5100,11.1710,0.000000
TAP_TAPCELL_ROW_0_20,VGND,li1,18.6300,11.1710,0.000000
PHY_EDGE_ROW_9_Left_19,VGND,li1,6.2100,38.0800,0.000003
PHY_EDGE_ROW_8_Left_18,VGND,li1,6.2100,32.6400,0.000012
PHY_EDGE_ROW_7_Left_17,VGND,li1,6.2100,32.6400,0.000012
PHY_EDGE_ROW_6_Left_16,VGND,li1,6.2100,27.2000,0.000029
PHY_EDGE_ROW_5_Left_15,VGND,li1,6.2100,27.2000,0.000029
PHY_EDGE_ROW_4_Left_14,VGND,li1,6.2100,21.7600,0.000003
PHY_EDGE_ROW_3_Left_13,VGND,li1,6.2100,21.7600,0.000003
PHY_EDGE_ROW_2_Left_12,VGND,li1,6.2100,16.3200,0.000010
PHY_EDGE_ROW_1_Left_11,VGND,li1,6.2100,16.3200,0.000010
PHY_EDGE_ROW_0_Left_10,VGND,li1,6.2100,10.8800,0.000000
PHY_EDGE_ROW_9_Right_9,VGND,li1,138.6900,38.0800,0.000021
PHY_EDGE_ROW_8_Right_8,VGND,li1,138.6900,32.6400,0.000073
PHY_EDGE_ROW_7_Right_7,VGND,li1,138.6900,32.6400,0.000073
PHY_EDGE_ROW_6_Right_6,VGND,li1,138.6900,27.2000,0.000184
PHY_EDGE_ROW_5_Right_5,VGND,li1,138.6900,27.2000,0.000184
PHY_EDGE_ROW_4_Right_4,VGND,li1,138.6900,21.7600,0.000020
PHY_EDGE_ROW_3_Right_3,VGND,li1,138.6900,21.7600,0.000020
PHY_EDGE_ROW_2_Right_2,VGND,li1,138.6900,16.3200,0.000066
PHY_EDGE_ROW_1_Right_1,VGND,li1,138.6900,16.3200,0.000066
PHY_EDGE_ROW_0_Right_0,VGND,li1,138.6900,10.8800,0.000000
_172_,VGND,li1,35.4200,16.3200,0.000019
_171_,VGND,li1,43.9300,16.3200,0.000028
_170_,VGND,li1,56.5800,16.3200,0.000038
_169_,VGND,li1,69.4600,16.3200,0.000047
_168_,VGND,li1,66.2400,32.6400,0.000050
_167_,VGND,li1,54.7400,32.6400,0.000042
_166_,VGND,li1,89.7000,32.6400,0.000064
_165_,VGND,li1,99.8200,27.2000,0.000184
_164_,VGND,li1,33.5800,32.6400,0.000023
_163_,VGND,li1,27.6000,32.6400,0.000016
_162_,VGND,li1,86.9400,16.3200,0.000058
_161_,VGND,li1,27.6000,27.2000,0.000039
_160_,VGND,li1,104.8800,32.6400,0.000070
_159_,VGND,li1,117.7600,32.6400,0.000073
_158_,VGND,li1,119.1400,32.6400,0.000073
_157_,VGND,li1,117.7600,21.7600,0.000020
_156_,VGND,li1,104.4200,16.3200,0.000065
_155_,VGND,li1,117.7600,16.3200,0.000066
_154_,VGND,li1,94.3000,16.3200,0.000061
_153_,VGND,li1,104.8800,16.3200,0.000065
_152_,VGND,li1,102.5800,27.2000,0.000184
_151_,VGND,li1,38.6400,21.7600,0.000006
_150_,VGND,li1,35.1900,16.3200,0.000019
_149_,VGND,li1,42.0900,16.3200,0.000026
_148_,VGND,li1,49.9100,16.3200,0.000033
_147_,VGND,li1,51.7500,16.3200,0.000034
_146_,VGND,li1,54.7400,16.3200,0.000036
_145_,VGND,li1,65.5500,16.3200,0.000045
_144_,VGND,li1,63.2500,16.3200,0.000043
_143_,VGND,li1,65.5500,32.6400,0.000050
_142_,VGND,li1,71.3000,32.6400,0.000054
_141_,VGND,li1,54.5100,32.6400,0.000042
_140_,VGND,li1,51.0600,27.2000,0.000105
_139_,VGND,li1,60.0300,32.6400,0.000046
_138_,VGND,li1,56.8100,27.2000,0.000119
_137_,VGND,li1,81.6500,32.6400,0.000060
_136_,VGND,li1,79.5800,32.6400,0.000058
_135_,VGND,li1,71.7600,27.2000,0.000152
_134_,VGND,li1,85.5600,32.6400,0.000062
_133_,VGND,li1,84.8700,27.2000,0.000173
_132_,VGND,li1,88.3200,32.6400,0.000064
_131_,VGND,li1,86.7100,21.7600,0.000017
_130_,VGND,li1,58.1900,21.7600,0.000011
_129_,VGND,li1,69.4600,32.6400,0.000053
_128_,VGND,li1,72.6800,32.6400,0.000054
_127_,VGND,li1,70.1500,27.2000,0.000152
_126_,VGND,li1,75.4400,32.6400,0.000056
_125_,VGND,li1,40.7100,27.2000,0.000073
_124_,VGND,li1,41.8600,27.2000,0.000080
